Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Cr-Ln,5.09600e+02,0.00000e+00,0.00000e+00,1.11813e+00
Mn-Ka1,5.89870e+03,1.60773e+03,0.00000e+00,5.41974e-01
Mn-Ka2,5.88760e+03,2.41160e+02,0.00000e+00,5.41974e-01
Mn-Kb1,6.49040e+03,2.49198e+02,0.00000e+00,5.41974e-01
Mn-La1,6.33160e+02,0.00000e+00,0.00000e+00,1.04142e+00
Mn-La2,6.33040e+02,0.00000e+00,0.00000e+00,1.04142e+00
Mn-Lb1,6.44140e+02,0.00000e+00,0.00000e+00,1.06350e+00
Mn-Ll,5.56400e+02,0.00000e+00,0.00000e+00,1.04142e+00
Mn-Ln,5.67500e+02,0.00000e+00,0.00000e+00,1.06350e+00
Fe-Ka1,6.40390e+03,1.45321e+03,0.00000e+00,5.60321e-01
Fe-Ka2,6.39090e+03,7.26604e+02,0.00000e+00,5.60321e-01
Fe-Kb1,7.05800e+03,2.96454e+02,0.00000e+00,5.60321e-01
Fe-La1,7.04500e+02,0.00000e+00,0.00000e+00,9.21947e-01
Fe-La2,7.04500e+02,0.00000e+00,0.00000e+00,9.21947e-01
Fe-Lb1,7.17500e+02,0.00000e+00,0.00000e+00,9.42736e-01
Fe-Ll,6.15200e+02,0.00000e+00,0.00000e+00,9.21947e-01
Co-Ka1,6.93030e+03,9.14560e+02,0.00000e+00,6.04656e-01
Co-Ka2,6.91530e+03,4.57280e+02,0.00000e+00,6.04656e-01
Co-Kb1,7.64940e+03,1.88399e+02,0.00000e+00,6.04656e-01
Co-La1,7.75700e+02,1.64344e+03,0.00000e+00,8.60551e-01
Co-La2,7.75700e+02,1.64344e+02,0.00000e+00,8.60551e-01
Co-Lb1,7.90700e+02,3.96068e+02,0.00000e+00,8.80999e-01
Co-Ll,6.77900e+02,3.94424e+02,0.00000e+00,8.60551e-01
Ni-Ka1,7.47810e+03,6.95997e+02,0.00000e+00,6.19451e-01
Ni-Ka2,7.46090e+03,1.73999e+02,0.00000e+00,6.19451e-01
Ni-Kb1,8.26470e+03,1.18319e+02,0.00000e+00,6.19451e-01
Ni-La1,8.51100e+02,0.00000e+00,0.00000e+00,7.70622e-01
