Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Xe-La2,4.09680e+03,2.32985e+01,0.00000e+00,5.24463e-01
Xe-Lb1,4.41830e+03,1.16493e+02,0.00000e+00,5.69649e-01
Xe-Lb2,4.71820e+03,3.96075e+01,0.00000e+00,5.24463e-01
Xe-Lb3,4.51580e+03,2.32985e+01,0.00000e+00,6.19793e-01
Xe-Mz1,5.38700e+02,0.00000e+00,0.00000e+00,4.68719e-01
Xe-Mg1,8.73000e+02,0.00000e+00,0.00000e+00,6.78135e-01
Cs-La1,4.28640e+03,1.85022e+02,0.00000e+00,5.23529e-01
Cs-La2,4.27240e+03,1.85022e+01,0.00000e+00,5.23529e-01
Cs-Lb1,4.61990e+03,9.06608e+01,0.00000e+00,5.70196e-01
Cs-Lb2,4.93540e+03,3.14537e+01,0.00000e+00,5.23529e-01
Cs-Mz1,5.67200e+02,8.76646e+01,0.00000e+00,4.64699e-01
Cs-Mg1,9.21100e+02,8.76646e+00,0.00000e+00,6.62293e-01
Ba-La1,4.46630e+03,2.66381e+02,0.00000e+00,5.34069e-01
Ba-Lb1,4.82750e+03,1.22535e+02,0.00000e+00,5.83511e-01
Ba-Lb2,5.15710e+03,3.72933e+01,0.00000e+00,5.34069e-01
Ba-Lb3,4.92660e+03,3.19657e+01,0.00000e+00,6.32548e-01
Ba-Mz1,6.04300e+02,0.00000e+00,0.00000e+00,4.67297e-01
Ba-Mg1,9.72300e+02,0.00000e+00,0.00000e+00,6.57819e-01
La-La1,4.65100e+03,3.28691e+02,0.00000e+00,5.33425e-01
La-La2,4.63420e+03,3.28691e+01,0.00000e+00,5.33425e-01
La-Lb1,5.04210e+03,1.64345e+02,0.00000e+00,5.84777e-01
La-Lb2,5.38380e+03,6.73816e+01,0.00000e+00,5.33425e-01
La-Lb3,5.14290e+03,3.28691e+01,0.00000e+00,6.33180e-01
La-Mz1,6.42700e+02,0.00000e+00,0.00000e+00,4.58435e-01
La-Mg1,1.02450e+03,0.00000e+00,0.00000e+00,6.39833e-01
Ce-La1,4.84010e+03,2.00541e+02,0.00000e+00,5.31928e-01
Ce-La2,4.82210e+03,2.00541e+01,0.00000e+00,5.31928e-01
Ce-Lb1,5.26290e+03,9.62597e+01,0.00000e+00,5.85111e-01
Ce-Lb2,5.61340e+03,3.81028e+01,0.00000e+00,5.31928e-01
